HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
117877.57,-2.3914623,1.4711931,2.7017505,149541.89,2,-0.043462772
119688.95,-3.6813297,2.5068395,2.520975,191033.81,4,0.15455347
121962.76,-1.7118652,2.5579772,2.6463852,408237.3,2,-0.6831139
117966.9,-1.9689845,2.0970294,2.6285267,374741.7,3,0.61781764
122718.96,-2.4949327,2.6442282,2.8087697,196396.89,4,0.079111114
134875.14,-2.3467398,2.6345162,2.3988442,241747.7,4,0.0124375075
118324.66,-1.258233,1.6862586,4.680843,1.00668894e+06,5,-0.28350258
126621.555,-0.04311514,0.8165661,5.0818186,523311.38,3,0.11025697
125496.82,-1.8664465,3.03397,2.1836462,135155.5,3,-0.032996986
130912.99,1.9010131,2.386609,4.2234135,1.3170719e+06,3,1.477518
117451.41,-0.94017327,1.6237806,5.1572843,573396.06,2,-0.08148848
133427.42,-2.867612,2.3459282,3.1460521,245952.14,2,0.2809956
117527.87,-3.5312018,0.188469,2.1645136,90967.766,2,0.041113626
119701.86,-2.3778539,3.1113377,6.6025,949465.0,2,-0.006093069
131277.05,0.63897866,3.101654,3.2076812,652602.5,2,-0.0779471
133876.58,-0.42419073,1.212432,5.4768915,740286.3,3,0.0960165
117667.7,-2.6164446,2.3536506,2.4089158,344327.78,3,1.2952576
126888.62,1.1106415,0.9191494,4.937617,397142.2,2,-0.07453987
127426.836,-0.23622137,1.4850376,3.8847678,265176.88,3,-0.09534866
115724.25,1.9494216,1.313199,3.9248912,419193.28,2,0.2370535
119583.05,-1.75815,2.695278,3.1180272,317352.78,5,0.054313358
125962.555,-1.4592273,2.8345191,2.5570245,276207.34,3,0.10501929
121107.96,0.6566985,0.36663723,4.8506293,536496.0,4,0.098164946
118171.56,-1.9049888,2.7533503,3.145426,1.1622944e+06,5,0.38656682
125144.62,1.4895228,1.9852054,3.4522276,634137.3,2,-1.3737928
129380.39,-0.58817434,2.1563482,3.0534894,559815.2,3,1.0434353
127748.97,-2.6621768,1.9644309,3.1157904,218260.81,7,-0.064718895
121346.08,0.20564981,1.7073598,7.247221,1.5556061e+06,3,-0.08262499
129470.35,-3.1454163,0.16389537,3.1457937,317859.8,2,-0.10544095
121884.05,-2.5443153,2.3997176,4.694002,468356.72,4,0.08114369
121455.08,-4.146796,2.961593,3.0496218,238375.05,3,0.013077821
125907.25,2.690643,0.27898872,5.7901893,1.0075869e+06,2,-0.03155193
121934.336,-1.5892321,2.949415,3.665287,570178.6,5,0.39813638
132200.39,-2.3256958,1.315257,5.827504,589296.44,3,0.03530506
125088.95,-0.25831792,0.14927012,6.114309,1.0037729e+06,4,-0.055132747
116759.945,1.6703321,1.4193424,4.2718954,329523.62,3,0.10223881
117288.59,-1.5481735,3.0406392,4.7992783,433750.6,2,-0.106074296
123354.555,1.5698048,1.4890025,5.7519407,995675.25,3,0.22781064
126868.14,-1.4110751,2.0930486,3.6530473,361985.16,4,-0.21308471
122471.55,-2.676808,0.09201503,5.865464,593867.2,4,-0.07595789
124168.13,-2.6282341,3.0194588,2.684751,441413.94,4,0.0786379
133300.38,0.46853712,0.8390548,2.4514618,327310.62,5,-0.47451434
121255.914,-1.4361897,0.5311694,6.129526,1.5775509e+06,2,0.06467728
128367.54,-2.8228009,2.8573954,3.4610248,307337.03,2,-0.07993634
128849.945,-2.2047818,1.1653843,4.125347,407080.28,2,-0.25065118
129366.73,-0.96374136,1.1846495,3.4417622,243327.81,3,0.12069876
118998.43,-0.22766836,3.1084511,3.0545158,1.0910162e+06,3,0.21359017
120520.36,-2.7261715,2.4398606,5.123156,686108.1,2,0.10332212
115769.16,-2.4137244,1.802741,2.1635184,137655.23,5,0.45494103
123035.74,-1.9034321,1.2314217,5.3553705,650829.6,3,-0.07082745
117389.87,-1.6100996,3.1402838,2.8434887,166379.1,2,-0.016103456
133434.61,-0.057002127,1.8409649,4.9775705,1.024872e+06,4,0.10190735
116456.734,-0.46932045,2.7375183,4.1737695,1.4860181e+06,5,-0.21822806
133669.83,-1.3733754,2.7482593,3.0775027,274266.94,2,-0.0049859746
132026.36,-4.0406823,1.4492519,2.4262369,109746.32,3,-0.16966416
131304.8,-1.7659197,0.5878666,2.6518023,319270.1,5,-0.19228914
133383.52,-2.096816,2.5757165,3.898306,293891.94,2,0.0048972103
119552.45,-1.645525,2.8702703,3.5096977,358479.16,2,-0.059256062
134593.62,-3.3483217,3.062863,2.7372096,221573.55,3,-0.9614097
130887.055,-2.9184196,1.7395421,4.272757,317985.62,2,-0.06121938
123225.26,-1.2588434,1.8160045,2.678661,146314.81,2,-0.3037918
123053.836,-0.7089401,2.5803177,3.5896974,690829.06,2,0.9700685
119944.8,0.70074326,2.7733555,4.5976605,632606.44,2,-0.14464445
116473.5,2.1658657,0.69547856,3.0677228,294912.22,4,0.22250697
120709.07,0.32086024,1.4103332,6.88247,1.0727482e+06,2,-0.0908534
131105.67,-1.5195043,3.101386,3.0292606,418653.47,5,-0.21886085
116432.27,-2.8956602,1.8596551,2.7319946,337481.97,2,0.18321387
128886.11,-0.09239505,3.0220618,3.0938046,508034.0,2,0.010265008
117515.49,-1.7273002,2.974094,2.4686177,238694.66,4,0.01951315
122995.54,1.3733485,0.68115,4.654073,633205.9,4,-0.22211945
119407.07,-2.4112988,1.7545793,2.9801774,158021.44,2,-0.046995893
118841.67,5.4217486,0.5302302,6.8570404,1.9354972e+06,6,-0.09869229
125677.24,0.26559773,0.5237398,5.691789,743949.7,2,-0.08094896
118918.46,2.0026846,1.1655707,4.8452053,701588.9,2,-0.17470632
