,HiggsM,Frequency,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1,Zepp,finalWeight,is_Passed_yy,lumiXsecWeight
114,110725.0,19451,-1.5003735,2.0229082,3.5701284,450672.78,3.3211145956506094,-0.005399587,-0.0071353004,0.005791459,1.0,1.2211621e-09
115,110775.0,19387,-1.5006622,2.037136,3.5656927,454118.3,3.3270232630112964,-0.0014170978,0.00061643176,0.005896234,1.0,1.2212006e-09
116,110825.0,19426,-1.516506,2.0242128,3.5698907,456592.56,3.336456295686194,0.0009155031,0.006568886,0.005696475,1.0,1.2210478e-09
117,110875.0,19093,-1.4971626,2.02287,3.5834205,452111.3,3.345152673754779,-0.002116794,-0.012345695,0.005710273,1.0,1.2217583e-09
118,110925.0,19210,-1.4825064,2.0274897,3.576038,457872.25,3.3355023425299324,0.0016786491,0.019654227,0.005816303,1.0,1.2215131e-09
119,110975.0,19221,-1.4707949,2.0263662,3.568272,458996.7,3.3568492794339524,-0.00031464483,0.021205312,0.005750634,1.0,1.2221543e-09
120,111025.0,19287,-1.4950912,2.0284545,3.5791762,461059.53,3.367708819412039,0.0028731313,0.009186303,0.005851818,1.0,1.2219645e-09
121,111075.0,18979,-1.4867119,2.0220866,3.5767443,452581.72,3.352705622003267,0.0035047394,0.010550709,0.0058121365,1.0,1.2213014e-09
122,111125.0,18859,-1.4959347,2.030829,3.5852332,458029.72,3.3307174293440798,-0.0003199856,-0.023538047,0.005724219,1.0,1.2212509e-09
123,111175.0,18899,-1.5051845,2.016357,3.5642834,450245.38,3.346050055558495,0.0044186376,0.009054077,0.0057656174,1.0,1.220847e-09
124,111225.0,19245,-1.4934647,2.0208223,3.564403,454937.75,3.3435697583787998,0.0014155144,0.021689022,0.0058418866,1.0,1.220877e-09
125,111275.0,18901,-1.4976174,2.0281112,3.5805407,459421.53,3.375906036717634,-0.0025052822,0.0005772262,0.0057735923,1.0,1.22149e-09
126,111325.0,19065,-1.4798971,2.0260475,3.5881896,459000.38,3.3349068974560714,-0.0017688548,-0.012464179,0.0057520065,1.0,1.2195875e-09
127,111375.0,19071,-1.5124242,2.0264835,3.587438,460420.97,3.3624351109013686,-0.00027946167,-0.0097112935,0.005828062,1.0,1.2221061e-09
128,111425.0,19084,-1.4777174,2.021718,3.5882673,461676.44,3.356319429888912,-0.00028240247,-0.036055814,0.0057953903,1.0,1.2214336e-09
129,111475.0,19149,-1.4959359,2.0170903,3.5707102,454678.94,3.341062196459345,-0.003068285,-0.017068794,0.005839207,1.0,1.2216255e-09
130,111525.0,18937,-1.5022002,2.025391,3.5646675,451521.38,3.333685377831758,-0.0013596311,0.020274783,0.005822247,1.0,1.221565e-09
131,111575.0,19057,-1.5218985,2.012516,3.563017,451801.3,3.355564884294485,0.0047928444,-0.0027002438,0.005845078,1.0,1.2220499e-09
132,111625.0,19012,-1.4954199,2.0166547,3.5802305,457048.06,3.3337891857774036,-0.004525539,-0.011004506,0.005779179,1.0,1.2208379e-09
133,111675.0,19144,-1.5090301,2.0172758,3.5923502,455192.94,3.3490910990388634,1.4237425e-05,-0.027510324,0.0057505197,1.0,1.2221133e-09
134,111725.0,18542,-1.4718232,2.0331995,3.5743825,458200.4,3.3365872074209904,0.004436702,-0.007981942,0.0058115795,1.0,1.2206571e-09
135,111775.0,18992,-1.5098044,2.0277617,3.575928,452344.5,3.351042544229149,0.0006800486,-0.00046492176,0.0058193295,1.0,1.2213449e-09
136,111825.0,18869,-1.5102242,2.0253546,3.557366,449858.9,3.332609041284647,0.0012921749,-0.012388473,0.0058177775,1.0,1.221354e-09
137,111875.0,18998,-1.5167484,2.0287378,3.564648,451053.66,3.3337719759974735,-0.00025345728,-0.0020596113,0.0057565058,1.0,1.2213006e-09
138,111925.0,18673,-1.4987696,2.0457885,3.5721006,458004.34,3.3441867937664007,0.0021314502,0.012993366,0.0057731536,1.0,1.2210807e-09
139,111975.0,18889,-1.5106422,2.02425,3.5738864,452922.4,3.3588331833342155,-0.004418386,-0.011147294,0.005794444,1.0,1.221115e-09
140,112025.0,19014,-1.5020847,2.025009,3.5881402,462789.12,3.3607867886820237,-0.0004750218,0.0063437773,0.005711629,1.0,1.2208843e-09
141,112075.0,18697,-1.5112454,2.0316036,3.5669622,451267.72,3.346365727121998,0.001182176,-0.011530047,0.005886351,1.0,1.2210478e-09
142,112125.0,18776,-1.5071807,2.0283422,3.5867388,461364.12,3.3462931401789517,0.00062270596,-0.025469257,0.00586316,1.0,1.2208594e-09
143,112175.0,18621,-1.5148141,2.0292585,3.5807326,457478.5,3.35153858546802,0.0051320256,-0.018110234,0.0056213117,1.0,1.2208254e-09
144,112225.0,18723,-1.5187179,2.0263746,3.5641832,449960.44,3.320141003044384,-0.0003647344,0.011275502,0.0057775797,1.0,1.2211123e-09
145,112275.0,18556,-1.4991233,2.019725,3.5950584,462554.78,3.3614464324207805,0.0013559365,-0.015821496,0.005707748,1.0,1.2210407e-09
146,112325.0,18381,-1.5210487,2.0224507,3.5895982,459861.44,3.3470975463794135,0.00643225,-0.011041936,0.0057482542,1.0,1.2215698e-09
147,112375.0,18600,-1.5056734,2.0184429,3.5871396,456496.8,3.3439784946236557,0.002584824,-0.010891455,0.0058037466,1.0,1.2224226e-09
148,112425.0,18582,-1.5212809,2.0234659,3.5742276,459879.1,3.354698094930578,-0.0022306181,0.002198511,0.0056552477,1.0,1.2220764e-09
149,112475.0,18605,-1.4910206,2.0228512,3.5665164,455844.06,3.337006181134104,0.0032968305,-0.0022377663,0.0057716253,1.0,1.2216802e-09
150,112525.0,18326,-1.5131176,2.0124335,3.5737555,454706.03,3.3819164029248063,-0.0010837049,-0.011672789,0.0058007482,1.0,1.2225317e-09
151,112575.0,18428,-1.495758,2.0124247,3.571004,452420.75,3.346320816149338,-0.0047330656,-0.009781364,0.005844585,1.0,1.2214234e-09
152,112625.0,18272,-1.5112921,2.025359,3.5699987,453675.0,3.3513025394045535,0.0047001974,0.017068192,0.005755321,1.0,1.2209936e-09
153,112675.0,18423,-1.4898765,2.0165899,3.5774164,458121.25,3.366009878955653,-0.0007572232,-0.0011215215,0.0058556977,1.0,1.2197162e-09
154,112725.0,18268,-1.508999,2.0096207,3.5721216,453471.4,3.3492993212174293,-0.0033394133,0.008713705,0.005824251,1.0,1.2215772e-09
155,112775.0,18386,-1.5174726,2.019018,3.5742493,453381.3,3.35472642227782,0.0053544906,-0.04011085,0.005751455,1.0,1.220917e-09
156,112825.0,18378,-1.5097839,2.0260785,3.5600994,456660.12,3.3536293394275765,-0.0028854331,-0.038979813,0.0057892143,1.0,1.2210508e-09
157,112875.0,18275,-1.4905163,2.023079,3.5781221,458049.0,3.3221887824897403,-0.002337794,0.015598986,0.005818286,1.0,1.2209236e-09
158,112925.0,18305,-1.5082453,2.0103016,3.5735366,454070.56,3.3404534280251297,0.0001601247,-0.0146846315,0.0057507874,1.0,1.2218453e-09
159,112975.0,18231,-1.4775747,2.0300872,3.5746005,458378.9,3.353299325324996,-0.0033324629,-0.0066088573,0.005727287,1.0,1.221517e-09
160,113025.0,18371,-1.495959,2.0165539,3.5796108,457535.44,3.373251320015241,0.0059645274,-0.016504021,0.005828379,1.0,1.222388e-09
161,113075.0,18208,-1.5061688,2.0360548,3.5643747,456231.1,3.3412236379613356,0.00060070085,0.015927082,0.0059007737,1.0,1.2212412e-09
162,113125.0,18389,-1.5040891,1.9976903,3.5911193,455602.28,3.3518407743759857,-0.0033885515,-0.012101682,0.0057826554,1.0,1.2219843e-09
163,113175.0,18237,-1.5129204,2.0135274,3.5839694,455603.8,3.3542249273455065,0.0028591529,-0.020221908,0.0057902024,1.0,1.2203288e-09
164,113225.0,18186,-1.5095754,2.0317502,3.577441,457122.28,3.3435059936214673,-0.0038284436,0.0018970009,0.005940328,1.0,1.2215018e-09
165,113275.0,18088,-1.5121119,2.0190947,3.5725965,458341.1,3.3670389208314906,-0.0006389269,-0.027610734,0.0058826148,1.0,1.221043e-09
166,113325.0,18025,-1.5003148,2.0238416,3.5678332,451823.9,3.338640776699029,-0.00049445016,-0.017730663,0.005807323,1.0,1.2213349e-09
167,113375.0,17918,-1.5027441,2.0235794,3.5911548,464157.03,3.3665587677196114,-0.0048252316,-0.04357765,0.005760902,1.0,1.2212572e-09
